Country;Temperature 100-Year Avg. 1922-2022 Centigrade;AverageIQPulito.Average IQ;Table 0.Precipitation, 2020
Burkina Faso;28,9;73,8;748
Colombia;24,7;83,13;3240
Japan;11,1;106,48;1668
Papua New Guinea;24,7;78,49;3142
Singapore;27,2;105,89;2497
Senegal;28,4;77,37;686
Panama;25,3;79;2928
China;7,1;104,1;645
Costa Rica;24,4;88,34;2926
South Korea;11,6;102,35;1274
Malaysia;26;87,58;2875
Belarus;6,6;101,6;618
Finland;1,8;101,2;536
Indonesia;25,7;78,49;2702
Bangladesh;25,5;74,33;2666
Germany;8,8;100,74;700
Netherlands;9,8;100,74;778
Sierra Leone;26,2;45,07;2526
Estonia;5,5;100,72;626
Liberia;25,2;45,07;2391
Luxembourg;9,2;99,87;934
Guyana;25,8;83,23;2387
Cambodia;27;99,75;1904
Philippines;25,9;81,64;2348
Suriname;26,3;90,29;2331
Canada;-4,7;99,52;537
Australia;21,6;99,24;534
Chad;27,1;78,87;322
Nicaragua;25,5;52,69;2280
Hungary;10,8;99,24;589
Ecuador;21,2;78,26;2274
Switzerland;5,7;99,24;1537
Bhutan;10,1;87,94;2200
United Kingdom;8,8;99,12;1220
Slovenia;9;98,6;1162
New Zealand;10,2;98,57;1732
Austria;6,6;98,38;1110
Sri Lanka;26,7;86,62;1712
Jamaica;25,5;75,08;2051
Iceland;1,5;98,26;1940
Denmark;8,2;97,83;703
Mauritius;22,9;86,56;2041
Thailand;26,5;88,87;1622
Belgium;9,9;97,49;847
Guatemala;23,2;47,72;1996
United States;9;97,43;715
Honduras;24,3;62,16;1976
Norway;1,6;97,13;1414
Sweden;2,6;97;624
France;10,9;96,69;867
Laos;23,8;80,99;1834
Gabon;25;62,97;1831
Poland;8,1;96,35;600
Vietnam;24,5;89,53;1821
Slovakia;8,2;96,32;824
El Salvador;24,8;69,63;1784
Brazil;24,9;83,38;1761
Russia;-4,7;96,29;460
Peru;19,6;81,44;1738
Lithuania;6,6;95,89;656
Croatia;11,1;95,75;1113
Ireland;9,4;95,13;1118
Guinea;25,5;53,48;1651
Guinea;27,5;53,48;1651
Latvia;6;94,79;667
Italy;12,6;94,23;832
Cameroon;24,7;67,76;1604
Spain;13,4;93,9;636
Congo;24,6;64,92;1543
Cyprus;18,4;93,39;498
Chile;9,2;87,89;1522
Portugal;15,3;92,77;854
Madagascar;22,4;76,79;1513
Israel;19,4;92,43;435
Nepal;13,8;42,99;1500
Albania;12;81,75;1485
Malta;18,9;91,27;560
Haiti;24,5;82,1;1440
Dominican Republic;24;82,05;1410
Bulgaria;10,8;90,99;608
Greece;13,9;90,77;652
Central African Republic;25,2;62,55;1343
Uruguay;17,7;87,59;1300
Ukraine;8,5;90,07;565
Burundi;20,1;72,09;1274
Moldavia;10,2;89,98;450
India;24,6;76,24;1083
Rwanda;18,7;69,95;1212
Ghana;27,3;58,16;1187
Kenya;24,6;75,2;630
Malawi;22,3;69,7;1181
Uganda;22,6;76,42;1180
Togo;27;59,83;1168
Armenia;7,3;88,82;562
Nigeria;27;67,76;1150
Bosnia and Herzegovina;9,6;88,54;1028
Bolivia;20,8;76,53;1146
Paraguay;23,8;84,04;1130
Mexico;20,8;87,73;758
Tajikistan;3,3;87,71;691
Tanzania;22,5;74,95;1071
Mozambique;24;72,5;1032
Benin;27,7;69,71;1039
Romania;9,5;86,88;637
Türkiye;11,2;86,8;593
Georgia;8,5;84,5;1026
Comoros;23,5;77,07;900
Zambia;21,8;68,43;1020
Argentina;14,9;86,63;591
Angola;21,5;75,1;1010
Azerbaijan;12,4;84,81;447
Ethiopia;23;68,42;848
Gambia;27,9;52,68;836
Lesotho;11,8;68,87;788
Zimbabwe;21,4;74,01;657
Pakistan;20,9;80;494
Afghanistan;12,8;82,12;327
North Macedonia;10,3;81,91;619
Lebanon;14,8;81,7;661
Kyrgyzstan;1,8;79,09;533
Botswana;21,6;69,45;416
South Africa;17,7;68,87;495
Morocco;17,7;67,03;346
Namibia;20,1;66,19;285
Mali;28,8;59,76;282
Kazakhstan;6,2;88,89;250
Sudan;27,3;78,87;250
Mongolia;0,1;91,03;241
Tunisia;19,8;79,22;207
Uzbekistan;12,9;89,01;206
Yemen;25,2;62,86;167
Turkmenistan;15,9;85,86;161
Niger;27,7;70,82;151
Oman;27,2;78,7;125
Kuwait;25,6;78,64;121
Jordan;18,9;80,7;111
Mauritania;28,4;59,76;92
Algeria;23,2;76;89
Bahrain;26,9;83,6;83
United Arab Emirates;27,6;82,05;78
Qatar;27,3;80,78;74
Saudi Arabia;25,4;76,36;59
Libya;22,3;80,92;56
Egypt;22,7;76,32;18
