Country;Temperature 100-Year Avg. 1922-2022 Centigrade
Burkina Faso;28,9
Mali;28,8
Senegal;28,4
Mauritania;28,4
Gambia;27,9
Benin;27,7
Niger;27,7
United Arab Emirates;27,6
Guinea-Bissau;27,5
Ghana;27,3
Sudan;27,3
Qatar;27,3
Oman;27,2
Singapore;27,2
Chad;27,1
Nigeria;27
Togo;27
Cambodia;27
Bahrain;26,9
Sri Lanka;26,7
Thailand;26,5
Cote d'Ivoire;26,5
Suriname;26,3
Sierra Leone;26,2
Malaysia;26
Philippines;25,9
Guyana;25,8
Indonesia;25,7
Kuwait;25,6
Bangladesh;25,5
Guinea;25,5
Jamaica;25,5
Nicaragua;25,5
Saudi Arabia;25,4
Panama;25,3
Central African Republic;25,2
Yemen, Rep.;25,2
Liberia;25,2
Gabon;25
Brazil;24,9
El Salvador;24,8
Colombia;24,7
Papua New Guinea;24,7
Cameroon;24,7
India;24,6
Kenya;24,6
Congo, Rep.;24,6
Vietnam;24,5
Haiti;24,5
Costa Rica;24,4
Honduras;24,3
Congo, Dem. Rep;24,1
Dominican Republic;24
Mozambique;24
Laos;23,8
Paraguay;23,8
Myanmar;23,6
Comoros;23,5
Algeria;23,2
Guatemala;23,2
Ethiopia;23
Mauritius;22,9
Egypt;22,7
Uganda;22,6
Tanzania;22,5
Madagascar;22,4
Libya;22,3
Malawi;22,3
Zambia;21,8
Australia;21,6
Botswana;21,6
Angola;21,5
Zimbabwe;21,4
Ecuador;21,2
Pakistan;20,9
Mexico;20,8
Bolivia;20,8
Eswatini;20,1
Namibia;20,1
Burundi;20,1
Tunisia;19,8
Peru;19,6
Israel;19,4
Malta;18,9
Jordan;18,9
Rwanda;18,7
Cyprus;18,4
South Africa;17,7
Uruguay;17,7
Morocco;17,7
Turkmenistan;15,9
Portugal;15,3
Argentina;14,9
Lebanon;14,8
Greece;13,9
Nepal;13,8
Spain;13,4
Uzbekistan;12,9
Afghanistan;12,8
Italy;12,6
Azerbaijan;12,4
Albania;12
Lesotho;11,8
Korea, Rep.;11,6
Türkiye;11,2
Croatia;11,1
Japan;11,1
France;10,9
Bulgaria;10,8
Hungary;10,8
Serbia;10,7
North Macedonia;10,3
Moldova;10,2
New Zealand;10,2
Bhutan;10,1
Belgium;9,9
Netherlands;9,8
Bosnia and Herzegovina;9,6
Romania;9,5
Ireland;9,4
Luxembourg;9,2
Chile;9,2
Slovenia;9
United States;9
Germany;8,8
United Kingdom;8,8
Georgia;8,5
Ukraine;8,5
Denmark;8,2
Slovak Republic;8,2
Poland;8,1
Armenia;7,3
China;7,1
Austria;6,6
Belarus;6,6
Lithuania;6,6
Kazakhstan;6,2
Latvia;6
Switzerland;5,7
Estonia;5,5
Tajikistan;3,3
Sweden;2,6
Kyrgyzstan;1,8
Finland;1,8
Norway;1,6
Iceland;1,5
Mongolia;0,1
Taiwan;0
Russia;-4,7
Canada;-4,7
