Country,Temperature 100-Year Avg. 1922-2022 Centigrade,Average IQ,Precipitation 2020,UV Radiation
Burkina Faso,28.9,73.8,748,5567
Afghanistan,12.8,82.12,327,4132
Colombia,24.7,83.13,3240,5385
Albania,12,81.75,1485,2542
Japan,11.1,106.48,1668,2521
Algeria,23.2,76,89,3253
Papua New Guinea,24.7,78.49,3142,5377
Angola,21.5,75.1,1010,5287
Panama,25.3,79,2928,4898
Argentina,14.9,86.63,591,3476
China,7.1,104.1,645,2908
Armenia,7.3,88.82,562,2899
Costa Rica,24.4,88.34,2926,4884
Australia,21.6,99.24,534,3206
South Korea,11.6,102.35,1274,2335
Austria,6.6,98.38,1110,1888
Malaysia,26,87.58,2875,5225
Azerbaijan,12.4,84.81,447,2702
Belarus,6.6,101.6,618,1795
Finland,1.8,101.2,536,1494
Bahrain,26.9,83.6,83,4419
Indonesia,25.7,78.49,2702,5220
Bangladesh,25.5,74.33,2666,4029
Germany,8.8,100.74,700,1812
Netherlands,9.8,100.74,778,1662
Belgium,9.9,97.49,847,1645
Estonia,5.5,100.72,626,1781
Benin,27.7,69.71,1039,5168
Liberia,25.2,45.07,2391,4926
Bhutan,10.1,87.94,2200,4180
Luxembourg,9.2,99.87,934,1687
Bolivia,20.8,76.53,1146,5344
Guyana,25.8,83.23,2387,5203
Bosnia and Herzegovina,9.6,88.54,1028,2205
Cambodia,27,99.75,1904,5152
Botswana,21.6,69.45,416,4868
Philippines,25.9,81.64,2348,4928
Brazil,24.9,83.38,1761,4552
Canada,-4.7,99.52,537,1887
Bulgaria,10.8,90.99,608,2331
Chad,27.1,78.87,322,5669
Burundi,20.1,72.09,1274,5111
Nicaragua,25.5,52.69,2280,5078
Hungary,10.8,99.24,589,1932
Ecuador,21.2,78.26,2274,4929
Cameroon,24.7,67.76,1604,5185
Central African Republic,25.2,62.55,1343,5498
New Zealand,10.2,98.57,1732,2487
Chile,9.2,87.89,1522,3982
Jamaica,25.5,75.08,2051,4942
Comoros,23.5,77.07,900,5524
Iceland,1.5,98.26,1940,957
Congo,24.6,64.92,1543,4943
Denmark,8.2,97.83,703,1691
Mauritius,22.9,86.56,2041,5055
Croatia,11.1,95.75,1113,1976
Guatemala,23.2,47.72,1996,5141
Cyprus,18.4,93.39,498,3439
Honduras,24.3,62.16,1976,4924
Norway,1.6,97.13,1414,1439
France,10.9,96.69,867,1907
Gabon,25,62.97,1831,4654
Dominican Republic,24,82.05,1410,4880
Poland,8.1,96.35,600,1749
Egypt,22.7,76.32,18,4202
El Salvador,24.8,69.63,1784,5364
Russia,-4.7,96.29,460,1795
Peru,19.6,81.44,1738,5906
Lithuania,6.6,95.89,656,1801
Ethiopia,23,68.42,848,5929
Ireland,9.4,95.13,1118,1509
Guinea,25.5,53.48,1651,5391
Guinea,27.5,53.48,1651,5391
Latvia,6,94.79,667,1671
Gambia,27.9,52.68,836,5358
Italy,12.6,94.23,832,2444
Georgia,8.5,84.5,1026,2489
Ghana,27.3,58.16,1187,5166
Greece,13.9,90.77,652,2753
Portugal,15.3,92.77,854,2585
Madagascar,22.4,76.79,1513,4771
Israel,19.4,92.43,435,3682
Nepal,13.8,42.99,1500,4130
Haiti,24.5,82.1,1440,5016
Malta,18.9,91.27,560,3091
India,24.6,76.24,1083,4514
Moldavia,10.2,89.98,450,1910
Rwanda,18.7,69.95,1212,5130
Jordan,18.9,80.7,111,4026
Kazakhstan,6.2,88.89,250,2257
Kenya,24.6,75.2,630,5803
Malawi,22.3,69.7,1181,5019
Kuwait,25.6,78.64,121,4214
Kyrgyzstan,1.8,79.09,533,3094
Nigeria,27,67.76,1150,5251
Lebanon,14.8,81.7,661,2953
Lesotho,11.8,68.87,788,4439
Paraguay,23.8,84.04,1130,4038
Mexico,20.8,87.73,758,4974
Libya,22.3,80.92,56,3861
Mozambique,24,72.5,1032,4646
Romania,9.5,86.88,637,2071
Mali,28.8,59.76,282,5617
Mauritania,28.4,59.76,92,5547
Mongolia,0.1,91.03,241,2226
Morocco,17.7,67.03,346,3568
Pakistan,20.9,80,494,4227
North Macedonia,10.3,81.91,619,2403
Namibia,20.1,66.19,285,5305
Niger,27.7,70.82,151,5811
Oman,27.2,78.7,125,5102
Qatar,27.3,80.78,74,4905
Saudi Arabia,25.4,76.36,59,5384
Senegal,28.4,77.37,686,5356
Sierra Leone,26.2,45.07,2526,5087
Singapore,27.2,105.89,2497,3979
Slovakia,8.2,96.32,824,1795
Slovenia,9,98.6,1162,2256
South Africa,17.7,68.87,495,4111
Spain,13.4,93.9,636,2705
Sri Lanka,26.7,86.62,1712,5264
Sudan,27.3,78.87,250,5783
Suriname,26.3,90.29,2331,4799
Sweden,2.6,97,624,1587
Switzerland,5.7,99.24,1537,2158
Türkiye,11.2,86.8,593,2924
Tajikistan,3.3,87.71,691,3538
Thailand,26.5,88.87,1622,4862
Togo,27,59.83,1168,5307
Tunisia,19.8,79.22,207,3262
Turkmenistan,15.9,85.86,161,3164
Uganda,22.6,76.42,1180,5499
Ukraine,8.5,90.07,565,1843
United Arab Emirates,27.6,82.05,78,4862
United Kingdom,8.8,99.12,1220,1576
United States,9,97.43,715,2736
Uruguay,17.7,87.59,1300,3235
Uzbekistan,12.9,89.01,206,3172
Vietnam,24.5,89.53,1821,4293
Yemen,25.2,62.86,167,6089
Zambia,21.8,68.43,1020,5265
Zimbabwe,21.4,74.01,657,4918
