Battery;Car_name;Efficiency;Price.DE.;Range;Top_speed;acceleration..0.100.;
37.8;Abarth 500e Convertible;168;40990;225;155;7;
37.8;Abarth 500e Hatchback;168;37990;225;155;7;
60;Aiways U5;190;39563;315;150;7.5;
60;Aiways U6;171;47588;350;160;7;
85;Audi e-tron GT quattro;202;106050;420;245;4.1;
85;Audi e-tron GT RS;210;146050;405;250;3.3;
77;Audi Q4 e-tron 45;183;52950;420;180;6.7;
77;Audi Q4 e-tron 45 quattro;195;54950;395;180;6.6;
77;Audi Q4 e-tron 55 quattro;195;59000;395;180;5.4;
77;Audi Q4 Sportback e-tron 45;177;54950;435;180;6.7;
77;Audi Q4 Sportback e-tron 45 quattro;186;56950;415;180;6.6;
77;Audi Q4 Sportback e-tron 55 quattro;186;61000;415;180;5.4;
89;Audi Q8 e-tron 50 quattro;209;74400;425;200;6;
106;Audi Q8 e-tron 55 quattro;210;85300;505;200;5.6;
89;Audi Q8 e-tron Sportback 50 quattro;200;76650;445;200;6;
106;Audi Q8 e-tron Sportback 55 quattro;202;87550;525;200;5.6;
106;Audi SQ8 e-tron;233;95800;455;210;4.5;
106;Audi SQ8 e-tron Sportback;221;98050;480;210;4.5;
67;BMW i4 eDrive35;156;56500;430;190;6;
80.7;BMW i4 eDrive40;157;59200;515;190;5.7;
80.7;BMW i4 M50;179;70800;450;225;3.9;
81.2;BMW i5 eDrive40 Sedan;171;70200;475;193;6;
81.2;BMW i5 M60 xDrive Sedan;191;99500;425;230;3.8;
101.7;BMW i7 eDrive50;196;115700;520;205;5.5;
101.7;BMW i7 M70 xDrive;208;181800;490;250;3.7;
101.7;BMW i7 xDrive60;199;139900;510;240;4.7;
105.2;BMW iX M60;217;136100;485;250;3.8;
71;BMW iX xDrive40;197;77300;360;200;6.1;
105.2;BMW iX xDrive50;208;100100;505;200;4.6;
64.7;BMW iX1 eDrive20;166;47900;390;170;8.3;
64.7;BMW iX1 xDrive30;170;55000;380;180;5.6;
64.7;BMW iX2 xDrive30;170;56500;380;180;5.6;
74;BMW iX3;192;67300;385;180;6.8;
60.5;BYD ATTO 3;183;44625;330;160;7.3;
44.9;BYD DOLPHIN 44.9 kWh Active;176;29990;255;150;10;
44.9;BYD DOLPHIN 44.9 kWh Boost;176;32740;255;160;8;
